iter	Passed	Remaining
202	1858	7297
203	1867	7287
204	1874	7270
205	1882	7255
206	1889	7236
207	1895	7218
208	1902	7199
209	1909	7182
210	1915	7164
211	1922	7146
212	1929	7128
213	1936	7110
214	1942	7093
215	1949	7076
216	1956	7058
217	1962	7041
218	1969	7023
219	1976	7007
220	1984	6994
221	1991	6979
222	1998	6962
223	2004	6945
224	2011	6928
225	2018	6911
226	2024	6895
227	2031	6879
228	2038	6862
229	2044	6846
230	2052	6831
231	2058	6815
232	2065	6799
233	2072	6784
234	2079	6768
235	2085	6752
236	2092	6737
237	2099	6721
238	2106	6706
239	2112	6690
240	2119	6675
241	2126	6659
242	2132	6644
243	2139	6628
244	2146	6613
245	2153	6599
246	2160	6585
247	2166	6570
248	2173	6555
249	2180	6540
250	2186	6526
251	2193	6511
252	2200	6496
253	2207	6482
254	2213	6467
255	2220	6453
256	2227	6438
257	2233	6424
258	2240	6410
259	2247	6395
260	2254	6382
261	2270	6394
262	2278	6384
263	2284	6370
264	2291	6356
265	2298	6342
266	2305	6328
267	2311	6314
268	2318	6300
269	2331	6303
270	2343	6303
271	2356	6305
272	2367	6305
273	2381	6309
274	2394	6312
275	2407	6315
276	2419	6314
277	2430	6312
278	2444	6316
279	2457	6318
280	2468	6316
281	2481	6317
282	2494	6320
283	2506	6318
284	2518	6319
285	2530	6317
286	2542	6315
287	2554	6315
288	2567	6315
289	2579	6315
290	2592	6315
291	2605	6318
292	2618	6317
293	2630	6317
294	2644	6320
295	2657	6320
296	2669	6317
297	2681	6316
298	2694	6317
299	2707	6316
300	2720	6317
301	2733	6318
302	2744	6314
303	2751	6299
304	2758	6285
305	2765	6271
306	2771	6256
307	2778	6242
308	2785	6228
309	2791	6214
310	2798	6200
311	2805	6186
312	2812	6172
313	2819	6158
314	2825	6145
315	2832	6131
316	2839	6117
317	2846	6103
318	2852	6090
319	2859	6076
320	2866	6063
321	2872	6049
322	2879	6035
323	2886	6022
324	2893	6008
325	2901	5997
326	2907	5984
327	2914	5970
328	2921	5957
329	2927	5944
330	2934	5931
331	2941	5917
332	2947	5904
333	2954	5891
334	2961	5878
335	2968	5865
336	2974	5852
337	2982	5841
338	2991	5832
339	2998	5820
340	3004	5807
341	3011	5794
342	3018	5781
343	3024	5768
344	3031	5755
345	3038	5743
346	3045	5730
347	3051	5717
348	3058	5704
349	3065	5692
350	3071	5679
351	3078	5667
352	3085	5654
353	3092	5642
354	3098	5630
355	3105	5617
356	3112	5606
357	3119	5593
358	3126	5581
359	3132	5569
360	3139	5557
361	3147	5546
362	3154	5534
363	3160	5522
364	3167	5510
365	3173	5498
366	3180	5486
367	3187	5474
368	3194	5463
369	3201	5451
370	3208	5439
371	3215	5427
372	3221	5415
373	3228	5403
374	3235	5392
375	3242	5380
376	3248	5368
377	3256	5359
378	3263	5347
379	3270	5335
380	3276	5323
381	3283	5312
382	3290	5300
383	3297	5289
384	3303	5277
385	3310	5266
386	3317	5255
387	3324	5243
388	3331	5232
389	3337	5220
390	3344	5209
391	3351	5197
392	3358	5187
393	3364	5175
394	3371	5163
395	3377	5152
396	3384	5141
397	3391	5130
398	3398	5118
399	3404	5107
400	3411	5096
401	3418	5084
402	3424	5073
403	3431	5062
404	3438	5051
405	3444	5039
406	3451	5028
407	3458	5017
408	3464	5006
409	3471	4995
410	3478	4985
